episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage,subset
94,3,discard,172.0,3,2,"[""7S"", ""13S"", ""12S"", ""8C"", ""12D"", ""2C"", ""11C"", ""5C""]","[""7S"", ""8C"", ""2C"", ""11C"", ""5C""]","[""1H"", ""2H"", ""3H"", ""8H"", ""10H"", ""12H"", ""2D"", ""4D"", ""5D"", ""6D"", ""9D"", ""11D"", ""1C"", ""4C"", ""9C"", ""10C"", ""12C"", ""13C"", ""2S"", ""6S"", ""8S"", ""9S"", ""10S""]",171.95567944675685,discard_top10
10,4,discard,164.0,2,2,"[""3C"", ""1H"", ""9S"", ""4D"", ""6H"", ""2H"", ""4H"", ""10D""]","[""3C"", ""1H"", ""4D"", ""2H"", ""10D""]","[""3H"", ""5H"", ""9H"", ""10H"", ""12H"", ""1D"", ""2D"", ""5D"", ""8D"", ""9D"", ""13D"", ""5C"", ""9C"", ""7S"", ""12S""]",163.77379511326552,discard_top10
11,7,discard,152.0,1,0,"[""9D"", ""10D"", ""3C"", ""2S"", ""9C"", ""5H"", ""4D"", ""2C""]","[""10D"", ""5H"", ""4D"", ""2C""]",[],152.29223981082438,discard_top10
50,5,discard,140.0,1,2,"[""7S"", ""4H"", ""7D"", ""6C"", ""9S"", ""5D"", ""11C"", ""12S""]","[""7S"", ""5D"", ""11C"", ""12S""]","[""8H"", ""9H"", ""9D"", ""4C"", ""13C"", ""5S"", ""8S"", ""10S""]",139.922299554646,discard_top10
21,4,discard,132.0,2,2,"[""12D"", ""2S"", ""7H"", ""9D"", ""5H"", ""11H"", ""8H"", ""8S""]","[""12D"", ""9D""]","[""1H"", ""2H"", ""9H"", ""13H"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""11D"", ""1C"", ""2C"", ""3C"", ""3S"", ""6S"", ""7S"", ""11S""]",131.94125176429748,discard_top10
32,3,discard,128.0,3,2,"[""6H"", ""6S"", ""2C"", ""1D"", ""10S"", ""1C"", ""3D"", ""11S""]","[""6H"", ""2C"", ""1D"", ""1C""]","[""1H"", ""4H"", ""8H"", ""10H"", ""12H"", ""4D"", ""5D"", ""6D"", ""8D"", ""12D"", ""13D"", ""3C"", ""4C"", ""5C"", ""6C"", ""8C"", ""11C"", ""13C"", ""1S"", ""2S"", ""4S"", ""5S"", ""12S"", ""13S""]",128.19511734336615,discard_top10
46,7,discard,120.0,1,0,"[""3S"", ""2H"", ""12H"", ""10D"", ""6S"", ""4S"", ""5D"", ""12D""]","[""3S"", ""2H"", ""6S"", ""4S""]",[],120.13683550596237,discard_top10
55,5,discard,112.0,2,1,"[""4C"", ""7S"", ""12D"", ""13D"", ""8H"", ""3S"", ""6H"", ""7C""]","[""4C"", ""13D"", ""3S"", ""7C""]","[""1H"", ""4H"", ""5H"", ""13H"", ""3D"", ""5D"", ""6D"", ""9D"", ""12C"", ""2S"", ""4S"", ""12S""]",112.20907767236233,discard_top10
9,6,discard,108.0,2,0,"[""4C"", ""6D"", ""2C"", ""7S"", ""10D"", ""6H"", ""1H"", ""8C""]","[""6D"", ""10D"", ""1H""]","[""4H"", ""11H"", ""3D"", ""4D"", ""12D"", ""13D"", ""1C"", ""11C"", ""13S""]",108.20576919078827,discard_top10
52,5,discard,108.0,2,1,"[""4S"", ""1D"", ""11D"", ""8C"", ""9H"", ""10H"", ""3D"", ""8D""]","[""4S"", ""11D"", ""10H"", ""3D"", ""8D""]","[""1H"", ""11H"", ""12H"", ""13H"", ""3C"", ""10C"", ""12C"", ""2S"", ""3S"", ""5S""]",107.7761097675562,discard_top10
13,4,discard,107.0,2,2,"[""9D"", ""2C"", ""7C"", ""1S"", ""5C"", ""8H"", ""3C"", ""13S""]","[""9D"", ""1S"", ""5C"", ""8H"", ""3C"", ""13S""]","[""1H"", ""2H"", ""4H"", ""7H"", ""9H"", ""2D"", ""5D"", ""10D"", ""1C"", ""12C"", ""13C"", ""2S"", ""7S"", ""10S""]",107.29314733177424,discard_top10
57,4,discard,104.0,3,1,"[""10C"", ""13S"", ""7H"", ""11S"", ""1H"", ""6D"", ""1S"", ""5D""]","[""10C"", ""7H"", ""1H"", ""6D"", ""1S""]","[""3H"", ""6H"", ""8H"", ""9H"", ""12H"", ""13H"", ""1D"", ""4D"", ""8D"", ""11D"", ""2C"", ""5C"", ""6C"", ""8C"", ""11C"", ""3S"", ""5S"", ""8S"", ""9S"", ""10S"", ""12S""]",104.55331906318663,discard_top10
21,7,discard,100.0,1,0,"[""1H"", ""6S"", ""1C"", ""7D"", ""13H"", ""7S"", ""5D"", ""8D""]","[""6S"", ""1C"", ""13H"", ""7S"", ""8D""]",[],100.25545922994614,discard_top10
33,3,discard,96.0,3,2,"[""2H"", ""4D"", ""2D"", ""4C"", ""6S"", ""12H"", ""1S"", ""1D""]","[""2H"", ""4C"", ""12H"", ""1S"", ""1D""]","[""1H"", ""3H"", ""4H"", ""6H"", ""7H"", ""9H"", ""10H"", ""11H"", ""3D"", ""7D"", ""8D"", ""9D"", ""11D"", ""12D"", ""3C"", ""5C"", ""6C"", ""10C"", ""11C"", ""12C"", ""8S"", ""10S"", ""12S""]",95.9876158118248,discard_top10
56,5,discard,88.0,2,1,"[""1S"", ""7C"", ""9D"", ""1C"", ""2D"", ""8D"", ""12S"", ""3H""]","[""1S"", ""9D"", ""1C"", ""2D"", ""8D"", ""12S""]","[""1H"", ""11H"", ""3D"", ""4D"", ""7D"", ""13D"", ""11C"", ""7S"", ""8S"", ""11S""]",88.19236135989428,discard_top10
