episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
7400,58798,664.7733333333333,396.0,396.0,412.50226666666657,334.47,334.47,1412.0,0.042911392405063295,0.625
7500,59588,-0.5733333333333377,77.0,77.0,317.8408,304.34,304.34,1412.0,0.042911392405063295,0.8333333333333334
7600,60375,175.57333333333335,150.0,150.0,371.55653333333333,324.66,324.66,1412.0,0.042911392405063295,0.625
7700,61166,582.4533333333334,326.0,326.0,358.07813333333337,303.18,303.18,1412.0,0.042911392405063295,0.625
7800,61954,441.6933333333333,279.0,279.0,399.7032000000001,335.5,335.5,1412.0,0.042405063291139244,0.625
7900,62745,596.3333333333334,363.0,363.0,382.436,330.5,330.5,1412.0,0.042405063291139244,0.625
8000,63537,481.62666666666667,636.0,636.0,376.2896,326.68,326.68,1412.0,0.042405063291139244,0.625
8100,64325,134.4133333333333,255.0,255.0,378.48173333333324,307.81,307.81,1412.0,0.042405063291139244,0.625
8200,65114,405.71999999999997,395.0,395.0,363.9429333333334,314.68,314.68,1412.0,0.042405063291139244,0.625
8300,65907,461.5466666666667,278.0,278.0,351.30840000000006,302.43,302.43,1412.0,0.041898734177215194,0.625
8400,66699,215.30666666666667,298.0,298.0,332.8034666666666,288.38,288.38,1412.0,0.041898734177215194,0.625
8500,67475,423.56,219.0,219.0,355.2424,300.1,300.1,1412.0,0.041898734177215194,0.625
8600,68263,471.48,211.0,211.0,376.0312,318.66,318.66,1412.0,0.041898734177215194,0.625
8700,69050,379.6533333333333,178.0,178.0,335.11080000000004,310.19,310.19,1412.0,0.041898734177215194,0.625
8800,69838,91.73333333333335,260.0,260.0,330.4341333333333,301.44,301.44,1412.0,0.04139240506329114,0.625
8900,70629,814.5600000000001,502.0,502.0,364.67080000000004,299.61,299.61,1412.0,0.04139240506329114,0.625
9000,71413,473.2266666666667,438.0,438.0,364.77573333333333,320.2,320.2,1412.0,0.04139240506329114,0.625
9100,72198,557.76,378.0,378.0,351.2208,305.64,305.64,1412.0,0.04139240506329114,0.625
9200,72983,675.2133333333334,451.0,451.0,360.6034666666667,312.88,312.88,1412.0,0.04139240506329114,0.625
9300,73768,413.52,396.0,396.0,361.65893333333327,307.96,307.96,1412.0,0.04088607594936709,0.8333333333333334
9400,74548,244.16,222.0,222.0,327.37733333333335,288.14,288.14,1412.0,0.04088607594936709,0.625
9500,75325,206.38666666666666,315.0,315.0,351.3145333333333,308.51,308.51,1412.0,0.04088607594936709,0.625
9600,76102,324.0,154.0,154.0,366.8677333333334,317.58,317.58,1412.0,0.04088607594936709,0.625
9700,76886,80.00000000000001,110.0,110.0,341.8486666666666,309.43,309.43,1412.0,0.04088607594936709,0.625
9800,77669,341.3466666666667,239.0,239.0,372.20986666666664,310.3,310.3,1412.0,0.04088607594936709,0.7142857142857143
9900,78450,557.36,298.0,298.0,333.24746666666664,297.46,297.46,1412.0,0.04037974683544304,0.625
10000,79222,133.64,267.0,267.0,349.5881333333333,321.41,321.41,1412.0,0.04037974683544304,0.625
10100,80010,396.46666666666664,415.0,415.0,323.3549333333334,290.1,290.1,1412.0,0.04037974683544304,0.625
10200,80795,409.7866666666667,288.0,288.0,364.1788,320.91,320.91,1412.0,0.04037974683544304,0.625
10300,81578,388.74666666666667,170.0,170.0,396.84346666666664,316.12,316.12,1412.0,0.04037974683544304,0.625
10400,82356,259.76,332.0,332.0,362.36800000000005,328.04,328.04,1412.0,0.03987341772151899,0.625
10500,83135,331.38666666666666,326.0,326.0,341.85693333333336,298.95,298.95,1412.0,0.03987341772151899,0.625
10600,83923,361.5466666666666,296.0,296.0,361.4422666666667,305.73,305.73,1412.0,0.03987341772151899,0.625
10700,84710,579.44,258.0,258.0,396.5517333333334,325.74,325.74,1412.0,0.03987341772151899,0.625
10800,85503,354.21333333333337,178.0,178.0,368.57920000000007,311.74,311.74,1412.0,0.03987341772151899,0.625
10900,86292,495.7333333333333,364.0,364.0,386.42453333333333,319.88,319.88,1412.0,0.03936708860759494,0.7142857142857143
11000,87076,373.44000000000005,174.0,174.0,413.1998666666667,352.67,352.67,1412.0,0.03936708860759494,0.625
11100,87867,121.31999999999998,187.0,187.0,366.79293333333334,300.11,300.11,1412.0,0.03936708860759494,0.625
11200,88650,248.62666666666667,191.0,191.0,358.54906666666665,306.38,306.38,1412.0,0.03936708860759494,0.7142857142857143
11300,89442,648.2533333333333,551.0,551.0,390.0253333333333,331.02,331.02,1412.0,0.03936708860759494,0.625
11400,90227,325.90666666666664,267.0,267.0,388.0785333333334,321.79,321.79,1412.0,0.03886075949367089,0.625
11500,91010,606.4266666666667,450.0,450.0,384.65346666666665,336.27,336.27,1412.0,0.03886075949367089,0.7142857142857143
11600,91792,215.4,155.0,155.0,398.5717333333334,325.42,325.42,1412.0,0.03886075949367089,0.625
11700,92565,108.45333333333332,208.0,208.0,361.32199999999995,307.95,307.95,1412.0,0.03886075949367089,0.625
11800,93356,81.92,146.0,146.0,400.03453333333323,333.73,333.73,1412.0,0.03886075949367089,0.625
11900,94138,268.49333333333334,167.0,167.0,367.9090666666666,306.28,306.28,1412.0,0.03886075949367089,0.8333333333333334
12000,94922,205.73333333333335,296.0,296.0,408.0451999999999,336.67,336.67,1412.0,0.03835443037974684,0.625
12100,95698,221.48,225.0,225.0,379.99626666666666,311.72,311.72,1412.0,0.03835443037974684,0.625
12200,96481,160.88,148.0,148.0,374.4141333333333,320.22,320.22,1412.0,0.03835443037974684,0.625
12300,97266,804.3199999999999,796.0,796.0,385.8860000000001,330.75,330.75,1412.0,0.03835443037974684,0.625
12400,98056,536.1466666666668,295.0,295.0,395.4684,321.33,321.33,1412.0,0.03835443037974684,0.625
12500,98840,-204.8133333333334,215.0,215.0,383.12559999999996,316.56,316.56,1412.0,0.03784810126582279,0.625
12600,99634,-545.4666666666667,232.0,232.0,371.7849333333333,319.63,319.63,1412.0,0.03784810126582279,0.625
12700,100422,704.8266666666667,698.0,698.0,353.7436,312.33,312.33,1412.0,0.03784810126582279,0.625
12800,101211,350.4,564.0,564.0,380.7133333333334,321.68,321.68,1412.0,0.03784810126582279,0.625
12900,102005,446.32000000000005,308.0,308.0,383.4592,313.06,313.06,1412.0,0.03784810126582279,0.625
