episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
8800,62342,155.0,155.0,163.0,192.2064,195.63,200.79,1166.0,0.0451219512195122,0.8
8900,62946,182.93,177.0,183.0,210.17210000000003,207.61,213.13,1166.0,0.0451219512195122,0.8
9000,63596,239.01,241.0,247.0,199.11469999999997,198.75,204.3,1166.0,0.0451219512195122,0.8
9100,64223,262.85,188.0,195.0,215.4969,216.74,221.88,1166.0,0.0451219512195122,0.8
9200,64865,212.71,222.0,228.0,206.2768,202.69,207.96,1166.0,0.0451219512195122,0.8
9300,65481,227.8,208.0,212.0,217.00190000000003,214.62,219.96,1166.0,0.0451219512195122,0.8
9400,66113,115.06,242.0,246.0,203.0856,200.94,206.65,1166.0,0.04479674796747968,0.8
9500,66720,124.17999999999999,117.0,119.0,204.52419999999998,206.64,212.11,1166.0,0.04479674796747968,0.8
9600,67349,69.94999999999999,96.0,99.0,203.91830000000002,203.12,208.55,1166.0,0.04479674796747968,0.8
9700,67970,147.94,158.0,166.0,199.91479999999996,201.83,207.06,1166.0,0.04479674796747968,0.8
9800,68597,112.28,103.0,106.0,210.81129999999996,213.29,218.7,1166.0,0.04479674796747968,0.8
9900,69222,202.06,172.0,180.0,204.96400000000003,203.02,208.12,1166.0,0.04479674796747968,0.8
10000,69833,150.7,125.0,131.0,200.1333,204.3,209.82,1166.0,0.044471544715447155,0.8
10100,70459,289.0,289.0,299.0,227.94809999999998,227.1,232.84,1166.0,0.044471544715447155,0.8
10200,71086,206.64999999999998,187.0,195.0,218.47439999999997,218.1,224.03,1166.0,0.044471544715447155,0.8
10300,71722,239.71,224.0,231.0,215.6295,213.88,219.61,1166.0,0.044471544715447155,0.8
10400,72362,295.4,280.0,283.0,225.2962,228.27,233.97,1166.0,0.044471544715447155,0.8
10500,72985,288.66999999999996,227.0,231.0,226.72929999999997,226.49,232.43,1166.0,0.044471544715447155,0.8
10600,73629,209.32999999999998,178.0,183.0,226.42170000000002,221.73,227.62,1166.0,0.044471544715447155,0.8
10700,74258,204.0,204.0,210.0,207.0789,203.35,209.11,1166.0,0.04414634146341464,0.8
10800,74868,257.86,219.0,228.0,216.59400000000002,208.98,214.81,1166.0,0.04414634146341464,0.8
10900,75504,259.83000000000004,291.0,294.0,217.45950000000002,215.61,221.63,1166.0,0.04414634146341464,0.8
11000,76097,258.0,242.0,250.0,213.4198,213.23,219.25,1166.0,0.04414634146341464,0.8
11100,76711,115.0,115.0,122.0,200.62500000000003,194.7,200.23,1166.0,0.04414634146341464,0.8
11200,77333,151.74,115.0,117.0,229.3659,222.2,227.84,1166.0,0.04414634146341464,0.8
11300,77975,209.25,104.0,105.0,221.7762,220.44,226.89,1166.0,0.043821138211382116,0.8
11400,78618,163.33999999999997,183.0,191.0,253.1116,248.34,254.42,1187.0,0.043821138211382116,0.8
11500,79237,269.26,300.0,310.0,214.44379999999998,212.21,218.62,1187.0,0.043821138211382116,0.8
11600,79881,218.0,218.0,223.0,205.3852,205.88,212.18,1187.0,0.043821138211382116,0.8
11700,80512,162.86,142.0,150.0,230.2876,230.88,237.25,1187.0,0.043821138211382116,0.8
11800,81150,242.0,242.0,247.0,214.507,209.99,215.9,1187.0,0.043821138211382116,0.8
11900,81795,278.47999999999996,207.0,214.0,214.0139,212.81,219.64,1187.0,0.043821138211382116,0.8
12000,82434,138.0,138.0,141.0,202.7951,204.08,210.27,1187.0,0.0434959349593496,0.8
12100,83084,69.0,69.0,78.0,201.47189999999998,202.4,208.58,1187.0,0.0434959349593496,0.8
12200,83738,104.41999999999999,139.0,148.0,233.83319999999995,235.03,241.19,1187.0,0.0434959349593496,0.8
