episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
8,1,play,200.0,4,3,"[""5S"", ""1S"", ""4H"", ""6C"", ""3H"", ""4S"", ""2D"", ""1D""]","[""5S"", ""1S"", ""4H"", ""6C"", ""3H"", ""4S"", ""2D"", ""1D""]","[""1H"", ""2H"", ""6H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""3D"", ""4D"", ""6D"", ""7D"", ""8D"", ""10D"", ""12D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""7C"", ""8C"", ""9C"", ""12C"", ""13C"", ""2S"", ""3S"", ""6S"", ""7S"", ""8S"", ""9S"", ""11S"", ""12S"", ""13S""]",168.85420776367187
8,2,play,372.0,3,3,"[""11D"", ""10S"", ""11C"", ""9D"", ""11H"", ""5D"", ""10C"", ""5H""]","[""11D"", ""10S"", ""11C"", ""9D"", ""11H"", ""5D"", ""10C"", ""5H""]","[""2H"", ""6H"", ""8H"", ""9H"", ""10H"", ""13H"", ""3D"", ""4D"", ""6D"", ""7D"", ""8D"", ""10D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""7C"", ""12C"", ""13C"", ""2S"", ""3S"", ""6S"", ""8S"", ""9S"", ""11S"", ""12S"", ""13S""]",210.59965850830076
8,3,play,116.0,2,3,"[""13D"", ""1H"", ""12H"", ""8C"", ""7H"", ""12D"", ""7S"", ""9C""]","[""13D"", ""1H"", ""12H"", ""8C"", ""7H"", ""12D"", ""7S"", ""9C""]","[""6H"", ""8H"", ""9H"", ""10H"", ""13H"", ""3D"", ""4D"", ""8D"", ""10D"", ""1C"", ""2C"", ""4C"", ""5C"", ""12C"", ""3S"", ""6S"", ""8S"", ""9S"", ""11S"", ""12S""]",-45.85910629272462
8,4,play,120.0,1,3,"[""2H"", ""3C"", ""13C"", ""13S"", ""7C"", ""7D"", ""2S"", ""6D""]","[""2H"", ""3C"", ""13C"", ""13S"", ""7C"", ""7D"", ""2S"", ""6D""]","[""9H"", ""10H"", ""13H"", ""4D"", ""1C"", ""2C"", ""4C"", ""5C"", ""12C"", ""8S"", ""9S"", ""11S""]",43.38071304321289
8,5,play,96.0,0,3,"[""6S"", ""8H"", ""3D"", ""10D"", ""3S"", ""6H"", ""12S"", ""8D""]","[""6S"", ""8H"", ""3D"", ""10D"", ""3S"", ""6H"", ""12S"", ""8D""]","[""10H"", ""5C"", ""12C"", ""9S""]",-40.62962341308594
9,1,play,135.0,4,3,"[""7C"", ""5C"", ""2H"", ""10S"", ""5S"", ""5D"", ""12H"", ""4C""]","[""7C"", ""5C"", ""2H"", ""10S"", ""5S"", ""5D"", ""12H"", ""4C""]","[""1H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""10H"", ""11H"", ""13H"", ""2D"", ""4D"", ""6D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""13D"", ""2C"", ""3C"", ""6C"", ""8C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""3S"", ""6S"", ""7S"", ""8S"", ""9S"", ""11S"", ""13S""]",2.1354125976562273
9,2,play,24.0,3,3,"[""12S"", ""1C"", ""3D"", ""2S"", ""9C"", ""4S"", ""11D"", ""1D""]","[""12S"", ""1C"", ""3D"", ""2S"", ""9C"", ""4S"", ""11D"", ""1D""]","[""1H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""11H"", ""4D"", ""6D"", ""7D"", ""9D"", ""10D"", ""13D"", ""2C"", ""3C"", ""6C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""3S"", ""6S"", ""7S"", ""8S"", ""9S""]",-42.77409393310546
9,3,play,124.0,2,3,"[""8C"", ""13H"", ""8D"", ""2D"", ""10H"", ""13S"", ""11S"", ""12D""]","[""8C"", ""13H"", ""8D"", ""2D"", ""10H"", ""13S"", ""11S"", ""12D""]","[""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""11H"", ""4D"", ""6D"", ""9D"", ""10D"", ""2C"", ""3C"", ""6C"", ""11C"", ""12C"", ""13C"", ""1S"", ""8S"", ""9S""]",-27.488898620605482
9,4,play,80.0,1,3,"[""7S"", ""3S"", ""13D"", ""6S"", ""1H"", ""7D"", ""3H"", ""10C""]","[""7S"", ""3S"", ""13D"", ""6S"", ""1H"", ""7D"", ""3H"", ""10C""]","[""6H"", ""8H"", ""9H"", ""11H"", ""4D"", ""6D"", ""9D"", ""10D"", ""11C"", ""1S"", ""8S"", ""9S""]",-29.233716125488286
9,5,play,284.0,0,3,"[""4H"", ""7H"", ""5H"", ""2C"", ""6C"", ""12C"", ""3C"", ""13C""]","[""4H"", ""7H"", ""5H"", ""2C"", ""6C"", ""12C"", ""3C"", ""13C""]","[""8H"", ""11H"", ""6D"", ""8S""]",155.25119018554688
