episode,hand,played_cards,discarded_cards,selected_cards,reward
82,"[(2, 'C'), (4, 'S'), (3, 'D'), (6, 'C'), (11, 'D'), (2, 'D'), (7, 'C'), (5, 'H')]","[(5, 'D'), (6, 'H'), (7, 'S'), (10, 'D'), (8, 'C'), (9, 'D')]",[],"[(2, 'C'), (4, 'S'), (3, 'D'), (6, 'C')]",11.0
82,"[(11, 'D'), (2, 'D'), (7, 'C'), (5, 'H'), (11, 'S'), (13, 'D'), (12, 'D'), (12, 'S')]","[(5, 'D'), (6, 'H'), (7, 'S'), (10, 'D'), (8, 'C'), (9, 'D'), (2, 'C'), (4, 'S'), (3, 'D'), (6, 'C')]",[],"[(11, 'D'), (11, 'S'), (13, 'D'), (12, 'D')]",64.0
82,"[(2, 'D'), (7, 'C'), (5, 'H'), (12, 'S'), (9, 'H'), (3, 'S'), (6, 'S'), (8, 'D')]","[(5, 'D'), (6, 'H'), (7, 'S'), (10, 'D'), (8, 'C'), (9, 'D'), (2, 'C'), (4, 'S'), (3, 'D'), (6, 'C'), (11, 'D'), (11, 'S'), (13, 'D'), (12, 'D')]",[],"[(2, 'D'), (12, 'S'), (9, 'H'), (3, 'S')]",17.0
83,"[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C'), (13, 'S'), (11, 'D'), (5, 'H'), (6, 'D')]",[],[],"[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C')]",17.0
83,"[(13, 'S'), (11, 'D'), (5, 'H'), (6, 'D'), (13, 'D'), (7, 'C'), (6, 'S'), (9, 'C')]","[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C')]",[],"[(13, 'S'), (11, 'D'), (13, 'D')]",72.0
83,"[(5, 'H'), (6, 'D'), (7, 'C'), (6, 'S'), (9, 'C'), (13, 'C'), (3, 'H'), (3, 'S')]","[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C'), (13, 'S'), (11, 'D'), (13, 'D')]",[],"[(5, 'H'), (6, 'D'), (7, 'C')]",12.0
83,"[(6, 'S'), (9, 'C'), (13, 'C'), (3, 'H'), (3, 'S'), (10, 'C'), (10, 'D'), (4, 'D')]","[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C'), (13, 'S'), (11, 'D'), (13, 'D'), (5, 'H'), (6, 'D'), (7, 'C')]",[],"[(6, 'S')]",24.0
83,"[(9, 'C'), (13, 'C'), (3, 'H'), (3, 'S'), (10, 'C'), (10, 'D'), (4, 'D'), (9, 'S')]","[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C'), (13, 'S'), (11, 'D'), (13, 'D'), (5, 'H'), (6, 'D'), (7, 'C')]","[(6, 'S')]","[(9, 'C'), (13, 'C'), (10, 'C')]",18.0
83,"[(3, 'H'), (3, 'S'), (10, 'D'), (4, 'D'), (9, 'S'), (5, 'S'), (7, 'S'), (12, 'H')]","[(8, 'C'), (1, 'H'), (12, 'D'), (3, 'C'), (13, 'S'), (11, 'D'), (13, 'D'), (5, 'H'), (6, 'D'), (7, 'C'), (9, 'C'), (13, 'C'), (10, 'C')]","[(6, 'S')]","[(3, 'H'), (3, 'S')]",32.0
84,"[(8, 'S'), (11, 'C'), (12, 'S'), (2, 'H'), (1, 'C'), (11, 'S'), (7, 'H'), (3, 'D')]",[],[],"[(8, 'S'), (12, 'S'), (11, 'S')]",17.0
84,"[(11, 'C'), (2, 'H'), (1, 'C'), (7, 'H'), (3, 'D'), (3, 'H'), (12, 'D'), (3, 'S')]","[(8, 'S'), (12, 'S'), (11, 'S')]",[],"[(11, 'C'), (1, 'C'), (3, 'D'), (3, 'H')]",32.0
84,"[(2, 'H'), (7, 'H'), (12, 'D'), (3, 'S'), (9, 'S'), (10, 'H'), (9, 'D'), (9, 'H')]","[(8, 'S'), (12, 'S'), (11, 'S'), (11, 'C'), (1, 'C'), (3, 'D'), (3, 'H')]",[],"[(2, 'H'), (7, 'H')]",12.0
84,"[(12, 'D'), (3, 'S'), (9, 'S'), (10, 'H'), (9, 'D'), (9, 'H'), (3, 'C'), (11, 'H')]","[(8, 'S'), (12, 'S'), (11, 'S'), (11, 'C'), (1, 'C'), (3, 'D'), (3, 'H'), (2, 'H'), (7, 'H')]",[],"[(12, 'D'), (9, 'S'), (9, 'D'), (11, 'H')]",56.0
84,"[(3, 'S'), (10, 'H'), (9, 'H'), (3, 'C'), (13, 'D'), (5, 'S'), (13, 'C'), (5, 'D')]","[(8, 'S'), (12, 'S'), (11, 'S'), (11, 'C'), (1, 'C'), (3, 'D'), (3, 'H'), (2, 'H'), (7, 'H'), (12, 'D'), (9, 'S'), (9, 'D'), (11, 'H')]",[],"[(3, 'S'), (10, 'H')]",15.0
85,"[(2, 'S'), (9, 'S'), (3, 'D'), (8, 'S'), (13, 'H'), (12, 'D'), (13, 'D'), (12, 'H')]",[],[],"[(2, 'S'), (9, 'S'), (8, 'S')]",14.0
85,"[(3, 'D'), (13, 'H'), (12, 'D'), (13, 'D'), (12, 'H'), (3, 'H'), (4, 'D'), (7, 'S')]","[(2, 'S'), (9, 'S'), (8, 'S')]",[],"[(3, 'D'), (13, 'H'), (12, 'D'), (13, 'D')]",72.0
85,"[(12, 'H'), (3, 'H'), (4, 'D'), (7, 'S'), (1, 'S'), (8, 'D'), (4, 'S'), (4, 'H')]","[(2, 'S'), (9, 'S'), (8, 'S'), (3, 'D'), (13, 'H'), (12, 'D'), (13, 'D')]",[],"[(12, 'H')]",17.0
85,"[(3, 'H'), (4, 'D'), (7, 'S'), (1, 'S'), (8, 'D'), (4, 'S'), (4, 'H'), (13, 'S')]","[(2, 'S'), (9, 'S'), (8, 'S'), (3, 'D'), (13, 'H'), (12, 'D'), (13, 'D'), (12, 'H')]",[],"[(3, 'H'), (1, 'S'), (8, 'D'), (4, 'S'), (13, 'S')]",18.0
85,"[(4, 'D'), (7, 'S'), (4, 'H'), (9, 'H'), (11, 'D'), (10, 'S'), (10, 'D'), (11, 'C')]","[(2, 'S'), (9, 'S'), (8, 'S'), (3, 'D'), (13, 'H'), (12, 'D'), (13, 'D'), (12, 'H'), (3, 'H'), (1, 'S'), (8, 'D'), (4, 'S'), (13, 'S')]",[],"[(4, 'D'), (4, 'H')]",0.0
85,"[(7, 'S'), (9, 'H'), (11, 'D'), (10, 'S'), (10, 'D'), (11, 'C'), (5, 'S'), (7, 'C')]","[(2, 'S'), (9, 'S'), (8, 'S'), (3, 'D'), (13, 'H'), (12, 'D'), (13, 'D'), (12, 'H'), (3, 'H'), (1, 'S'), (8, 'D'), (4, 'S'), (13, 'S')]","[(4, 'D'), (4, 'H')]","[(7, 'S'), (9, 'H')]",14.0
86,"[(3, 'S'), (2, 'H'), (8, 'C'), (2, 'D'), (12, 'S'), (8, 'S'), (6, 'C'), (11, 'S')]",[],[],"[(3, 'S'), (2, 'H')]",0.0
86,"[(8, 'C'), (2, 'D'), (12, 'S'), (8, 'S'), (6, 'C'), (11, 'S'), (13, 'S'), (7, 'C')]",[],"[(3, 'S'), (2, 'H')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S')]",52.0
86,"[(2, 'D'), (6, 'C'), (7, 'C'), (4, 'D'), (1, 'S'), (1, 'H'), (3, 'D'), (5, 'C')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S')]","[(3, 'S'), (2, 'H')]","[(2, 'D'), (6, 'C'), (7, 'C')]",12.0
86,"[(4, 'D'), (1, 'S'), (1, 'H'), (3, 'D'), (5, 'C'), (4, 'C'), (6, 'H'), (9, 'H')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S'), (2, 'D'), (6, 'C'), (7, 'C')]","[(3, 'S'), (2, 'H')]","[(4, 'D'), (1, 'S')]",9.0
86,"[(1, 'H'), (3, 'D'), (5, 'C'), (4, 'C'), (6, 'H'), (9, 'H'), (3, 'H'), (5, 'H')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S'), (2, 'D'), (6, 'C'), (7, 'C'), (4, 'D'), (1, 'S')]","[(3, 'S'), (2, 'H')]","[(1, 'H'), (5, 'C'), (4, 'C'), (6, 'H'), (3, 'H'), (5, 'H')]",40.0
86,"[(3, 'D'), (9, 'H'), (11, 'H'), (13, 'D'), (10, 'D'), (1, 'C'), (2, 'C'), (1, 'D')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S'), (2, 'D'), (6, 'C'), (7, 'C'), (4, 'D'), (1, 'S'), (1, 'H'), (5, 'C'), (4, 'C'), (6, 'H'), (3, 'H'), (5, 'H')]","[(3, 'S'), (2, 'H')]","[(3, 'D')]",0.0
