episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
3200,24650,209.67333333333335,160.0,162.0,252.36399999999998,160.26,161.54,849.0,0.049020408163265305,0.425
3300,25437,341.46666666666664,259.0,259.0,238.60119999999998,159.91,161.2,849.0,0.049020408163265305,0.425
3400,26218,165.72666666666666,147.0,150.0,242.7234,155.89,157.33,849.0,0.049020408163265305,0.425
3500,27014,245.64,176.0,176.0,260.7954,165.24,166.65,849.0,0.049020408163265305,0.425
3600,27808,160.47333333333333,202.0,203.0,254.00293333333332,155.93,157.42,849.0,0.049020408163265305,0.425
3700,28592,274.76666666666665,171.0,171.0,242.65900000000002,153.74,155.27,849.0,0.049020408163265305,0.425
3800,29388,185.0,177.0,179.0,244.37726666666666,154.36,156.11,849.0,0.04885714285714286,0.4458333333333333
3900,30188,197.92666666666668,194.0,195.0,252.5358,160.45,162.04,849.0,0.04885714285714286,0.4458333333333333
4000,30979,136.09333333333333,118.0,118.0,265.92980000000006,167.05,168.85,849.0,0.04885714285714286,0.4458333333333333
4100,31776,97.0733333333333,120.0,121.0,281.63526666666667,166.71,168.38,849.0,0.04885714285714286,0.4458333333333333
4200,32568,185.48666666666668,159.0,162.0,270.42646666666667,182.36,183.93,849.0,0.04885714285714286,0.4458333333333333
4300,33362,275.56666666666666,222.0,224.0,261.7445333333333,173.79,175.48,849.0,0.04869387755102041,0.4666666666666667
4400,34159,200.36666666666667,136.0,137.0,266.5902,169.18,171.04,849.0,0.04869387755102041,0.4666666666666667
4500,34959,201.64,234.0,236.0,258.5552666666666,177.11,179.2,849.0,0.04869387755102041,0.4666666666666667
4600,35753,333.56666666666666,140.0,140.0,256.8349333333333,153.8,155.65,849.0,0.04869387755102041,0.4666666666666667
4700,36549,119.08,103.0,105.0,273.1388666666667,170.92,172.76,849.0,0.04869387755102041,0.4666666666666667
4800,37343,186.94,121.0,123.0,280.64026666666666,178.83,181.08,849.0,0.048530612244897964,0.4875
4900,38139,188.2733333333333,133.0,138.0,275.8376666666667,174.5,176.86,849.0,0.048530612244897964,0.4875
5000,38936,399.43333333333334,171.0,173.0,271.5069333333334,168.04,170.4,849.0,0.048530612244897964,0.4875
5100,39736,258.4666666666667,143.0,146.0,274.78786666666673,183.89,186.05,849.0,0.048530612244897964,0.4875
5200,40533,265.1333333333333,146.0,150.0,266.84406666666666,174.06,176.61,849.0,0.048530612244897964,0.4875
5300,41330,419.1,244.0,247.0,281.1728,181.62,183.93,849.0,0.048367346938775514,0.5083333333333333
5400,42130,118.91333333333333,106.0,106.0,280.2932666666666,171.2,173.73,849.0,0.048367346938775514,0.5083333333333333
5500,42928,393.23333333333335,181.0,185.0,299.6815333333334,197.16,199.84,923.0,0.048367346938775514,0.5083333333333333
